Source,Target,Type,Id,Label,Weight
52,495,Directed,375,,1
52,502,Directed,376,,1
52,526,Directed,377,,1
52,537,Directed,378,,1
52,561,Directed,379,,1
52,564,Directed,380,,1
52,565,Directed,381,,1
52,570,Directed,382,,1
52,578,Directed,383,,1
52,585,Directed,384,,1
52,599,Directed,385,,1
52,624,Directed,386,,1
52,628,Directed,387,,1
52,641,Directed,388,,1
52,646,Directed,389,,1
52,651,Directed,390,,1
52,659,Directed,391,,1
52,670,Directed,392,,1
52,682,Directed,393,,1
52,691,Directed,394,,1
52,710,Directed,395,,1
52,727,Directed,396,,1
52,766,Directed,397,,1
52,769,Directed,398,,1
52,792,Directed,399,,1
52,794,Directed,400,,1
52,823,Directed,401,,1
52,860,Directed,402,,1
52,882,Directed,403,,1
52,887,Directed,404,,1
52,898,Directed,405,,1
52,906,Directed,406,,1
52,919,Directed,407,,1
52,927,Directed,408,,1
52,928,Directed,409,,1
52,938,Directed,410,,1
52,955,Directed,411,,1
52,994,Directed,412,,1
52,996,Directed,413,,1
52,1005,Directed,414,,1
52,1019,Directed,415,,1
52,1032,Directed,416,,1
52,1047,Directed,417,,1
53,55,Directed,418,,1
53,57,Directed,419,,1
53,74,Directed,420,,1
53,96,Directed,421,,1
53,111,Directed,422,,1
53,120,Directed,423,,1
53,124,Directed,424,,1
53,128,Directed,425,,1
53,135,Directed,426,,1
53,140,Directed,427,,1
53,142,Directed,428,,1
53,162,Directed,429,,1
53,164,Directed,430,,1
53,177,Directed,431,,1
53,198,Directed,432,,1
53,223,Directed,433,,1
53,232,Directed,434,,1
53,236,Directed,435,,1
53,246,Directed,436,,1
53,266,Directed,437,,1
53,268,Directed,438,,1
53,281,Directed,439,,1
53,305,Directed,440,,1
53,307,Directed,441,,1
53,317,Directed,442,,1
53,328,Directed,443,,1
53,335,Directed,444,,1
53,336,Directed,445,,1
53,342,Directed,446,,1
53,344,Directed,447,,1
53,352,Directed,448,,1
53,354,Directed,449,,1
53,356,Directed,450,,1
53,387,Directed,451,,1
53,388,Directed,452,,1
53,389,Directed,453,,1
53,417,Directed,454,,1
53,429,Directed,455,,1
53,458,Directed,456,,1
53,459,Directed,457,,1
53,463,Directed,458,,1
53,494,Directed,459,,1
53,500,Directed,460,,1
53,501,Directed,461,,1
53,502,Directed,462,,1
53,507,Directed,463,,1
53,511,Directed,464,,1
53,522,Directed,465,,1
53,534,Directed,466,,1
53,538,Directed,467,,1
53,550,Directed,468,,1
53,560,Directed,469,,1
53,563,Directed,470,,1
53,569,Directed,471,,1
53,570,Directed,472,,1
53,573,Directed,473,,1
53,596,Directed,474,,1
53,598,Directed,475,,1
53,608,Directed,476,,1
53,637,Directed,477,,1
53,642,Directed,478,,1
53,645,Directed,479,,1
53,661,Directed,480,,1
53,665,Directed,481,,1
53,679,Directed,482,,1
53,680,Directed,483,,1
53,719,Directed,484,,1
53,743,Directed,485,,1
53,744,Directed,486,,1
53,756,Directed,487,,1
53,766,Directed,488,,1
53,785,Directed,489,,1
53,788,Directed,490,,1
53,792,Directed,491,,1
53,814,Directed,492,,1
53,820,Directed,493,,1
53,822,Directed,494,,1
53,824,Directed,495,,1
53,856,Directed,496,,1
53,857,Directed,497,,1
53,900,Directed,498,,1
53,920,Directed,499,,1
53,925,Directed,500,,1
53,927,Directed,501,,1
53,941,Directed,502,,1
53,942,Directed,503,,1
53,959,Directed,504,,1
53,968,Directed,505,,1
53,980,Directed,506,,1
53,981,Directed,507,,1
53,987,Directed,508,,1
53,1000,Directed,509,,1
53,1006,Directed,510,,1
53,1007,Directed,511,,1
53,1012,Directed,512,,1
53,1019,Directed,513,,1
53,1034,Directed,514,,1
53,1036,Directed,515,,1
53,1043,Directed,516,,1
53,1048,Directed,517,,1
54,55,Directed,518,,1
54,58,Directed,519,,1
54,61,Directed,520,,1
54,63,Directed,521,,1
54,90,Directed,522,,1
54,104,Directed,523,,1
54,105,Directed,524,,1
54,107,Directed,525,,1
54,121,Directed,526,,1
54,136,Directed,527,,1
54,138,Directed,528,,1
54,139,Directed,529,,1
54,140,Directed,530,,1
54,146,Directed,531,,1
54,154,Directed,532,,1
54,162,Directed,533,,1
54,194,Directed,534,,1
54,205,Directed,535,,1
54,222,Directed,536,,1
54,236,Directed,537,,1
54,244,Directed,538,,1
54,255,Directed,539,,1
54,259,Directed,540,,1
54,265,Directed,541,,1
54,279,Directed,542,,1
54,299,Directed,543,,1
54,311,Directed,544,,1
54,312,Directed,545,,1
54,319,Directed,546,,1
54,331,Directed,547,,1
54,346,Directed,548,,1
54,347,Directed,549,,1
54,348,Directed,550,,1
54,363,Directed,551,,1
54,390,Directed,552,,1
54,420,Directed,553,,1
54,428,Directed,554,,1
54,429,Directed,555,,1
54,441,Directed,556,,1
54,459,Directed,557,,1
54,460,Directed,558,,1
54,461,Directed,559,,1
54,472,Directed,560,,1
54,473,Directed,561,,1
54,478,Directed,562,,1
54,484,Directed,563,,1
54,485,Directed,564,,1
54,497,Directed,565,,1
54,501,Directed,566,,1
54,515,Directed,567,,1
54,520,Directed,568,,1
54,524,Directed,569,,1
54,541,Directed,570,,1
54,550,Directed,571,,1
54,564,Directed,572,,1
54,565,Directed,573,,1
54,568,Directed,574,,1
54,570,Directed,575,,1
54,572,Directed,576,,1
54,576,Directed,577,,1
54,579,Directed,578,,1
54,581,Directed,579,,1
54,589,Directed,580,,1
54,591,Directed,581,,1
54,597,Directed,582,,1
54,602,Directed,583,,1
54,606,Directed,584,,1
54,632,Directed,585,,1
54,643,Directed,586,,1
54,656,Directed,587,,1
54,669,Directed,588,,1
54,676,Directed,589,,1
54,677,Directed,590,,1
54,689,Directed,591,,1
54,710,Directed,592,,1
54,751,Directed,593,,1
54,755,Directed,594,,1
54,759,Directed,595,,1
54,762,Directed,596,,1
54,765,Directed,597,,1
54,768,Directed,598,,1
54,774,Directed,599,,1
54,782,Directed,600,,1
54,794,Directed,601,,1
54,798,Directed,602,,1
54,799,Directed,603,,1
54,808,Directed,604,,1
54,824,Directed,605,,1
54,833,Directed,606,,1
54,839,Directed,607,,1
54,843,Directed,608,,1
54,846,Directed,609,,1
54,891,Directed,610,,1
54,896,Directed,611,,1
54,915,Directed,612,,1
54,925,Directed,613,,1
54,941,Directed,614,,1
54,954,Directed,615,,1
54,959,Directed,616,,1
54,969,Directed,617,,1
54,991,Directed,618,,1
54,1012,Directed,619,,1
54,1029,Directed,620,,1
54,1036,Directed,621,,1
54,1043,Directed,622,,1
55,63,Directed,623,,1
55,69,Directed,624,,1
55,82,Directed,625,,1
55,85,Directed,626,,1
55,95,Directed,627,,1
55,115,Directed,628,,1
55,121,Directed,629,,1
55,122,Directed,630,,1
55,133,Directed,631,,1
55,151,Directed,632,,1
55,152,Directed,633,,1
55,155,Directed,634,,1
55,157,Directed,635,,1
55,163,Directed,636,,1
55,169,Directed,637,,1
55,178,Directed,638,,1
55,183,Directed,639,,1
55,198,Directed,640,,1
55,200,Directed,641,,1
55,208,Directed,642,,1
55,214,Directed,643,,1
55,218,Directed,644,,1
55,228,Directed,645,,1
55,237,Directed,646,,1
55,239,Directed,647,,1
55,241,Directed,648,,1
55,244,Directed,649,,1
55,246,Directed,650,,1
55,247,Directed,651,,1
55,248,Directed,652,,1
55,249,Directed,653,,1
55,255,Directed,654,,1
55,257,Directed,655,,1
55,277,Directed,656,,1
55,278,Directed,657,,1
55,291,Directed,658,,1
55,292,Directed,659,,1
55,301,Directed,660,,1
55,311,Directed,661,,1
55,325,Directed,662,,1
55,333,Directed,663,,1
55,343,Directed,664,,1
55,348,Directed,665,,1
55,368,Directed,666,,1
55,372,Directed,667,,1
55,374,Directed,668,,1
55,379,Directed,669,,1
55,394,Directed,670,,1
55,403,Directed,671,,1
55,410,Directed,672,,1
55,417,Directed,673,,1
55,418,Directed,674,,1
55,448,Directed,675,,1
55,455,Directed,676,,1
55,460,Directed,677,,1
55,470,Directed,678,,1
55,474,Directed,679,,1
55,475,Directed,680,,1
55,480,Directed,681,,1
55,514,Directed,682,,1
55,519,Directed,683,,1
55,520,Directed,684,,1
55,535,Directed,685,,1
55,541,Directed,686,,1
55,546,Directed,687,,1
55,549,Directed,688,,1
55,556,Directed,689,,1
55,563,Directed,690,,1
55,574,Directed,691,,1
55,587,Directed,692,,1
55,590,Directed,693,,1
55,599,Directed,694,,1
55,609,Directed,695,,1
55,610,Directed,696,,1
55,618,Directed,697,,1
55,637,Directed,698,,1
55,660,Directed,699,,1
55,703,Directed,700,,1
55,710,Directed,701,,1
55,734,Directed,702,,1
55,738,Directed,703,,1
55,740,Directed,704,,1
55,759,Directed,705,,1
55,767,Directed,706,,1
55,770,Directed,707,,1
55,775,Directed,708,,1
55,776,Directed,709,,1
55,805,Directed,710,,1
55,810,Directed,711,,1
55,826,Directed,712,,1
55,842,Directed,713,,1
55,877,Directed,714,,1
55,890,Directed,715,,1
55,893,Directed,716,,1
55,908,Directed,717,,1
55,916,Directed,718,,1
55,930,Directed,719,,1
55,947,Directed,720,,1
55,1001,Directed,721,,1
55,1012,Directed,722,,1
55,1020,Directed,723,,1
55,1028,Directed,724,,1
56,75,Directed,725,,1
56,76,Directed,726,,1
56,80,Directed,727,,1
56,85,Directed,728,,1
56,92,Directed,729,,1
56,106,Directed,730,,1
56,110,Directed,731,,1
56,124,Directed,732,,1
56,126,Directed,733,,1
56,142,Directed,734,,1
56,146,Directed,735,,1
56,153,Directed,736,,1
56,154,Directed,737,,1
56,165,Directed,738,,1
56,207,Directed,739,,1
56,211,Directed,740,,1
56,212,Directed,741,,1
56,215,Directed,742,,1
56,220,Directed,743,,1
56,229,Directed,744,,1
56,243,Directed,745,,1
56,244,Directed,746,,1
56,248,Directed,747,,1
56,250,Directed,748,,1
56,253,Directed,749,,1
56,255,Directed,750,,1
56,257,Directed,751,,1
56,271,Directed,752,,1
56,275,Directed,753,,1
56,284,Directed,754,,1
56,295,Directed,755,,1
56,305,Directed,756,,1
56,308,Directed,757,,1
56,334,Directed,758,,1
56,336,Directed,759,,1
56,341,Directed,760,,1
56,378,Directed,761,,1
56,393,Directed,762,,1
56,394,Directed,763,,1
56,399,Directed,764,,1
56,401,Directed,765,,1
56,413,Directed,766,,1
56,430,Directed,767,,1
56,433,Directed,768,,1
56,438,Directed,769,,1
56,449,Directed,770,,1
56,450,Directed,771,,1
56,458,Directed,772,,1
56,467,Directed,773,,1
56,468,Directed,774,,1
56,474,Directed,775,,1
56,478,Directed,776,,1
56,488,Directed,777,,1
56,497,Directed,778,,1
56,512,Directed,779,,1
56,527,Directed,780,,1
56,528,Directed,781,,1
56,532,Directed,782,,1
56,536,Directed,783,,1
56,537,Directed,784,,1
56,538,Directed,785,,1
56,539,Directed,786,,1
56,544,Directed,787,,1
56,582,Directed,788,,1
56,584,Directed,789,,1
56,588,Directed,790,,1
56,593,Directed,791,,1
56,599,Directed,792,,1
56,615,Directed,793,,1
56,620,Directed,794,,1
56,631,Directed,795,,1
56,641,Directed,796,,1
56,662,Directed,797,,1
56,664,Directed,798,,1
56,667,Directed,799,,1
56,669,Directed,800,,1
56,676,Directed,801,,1
56,686,Directed,802,,1
56,698,Directed,803,,1
56,711,Directed,804,,1
56,713,Directed,805,,1
56,735,Directed,806,,1
56,737,Directed,807,,1
56,750,Directed,808,,1
56,763,Directed,809,,1
56,770,Directed,810,,1
56,774,Directed,811,,1
56,804,Directed,812,,1
56,805,Directed,813,,1
56,806,Directed,814,,1
56,833,Directed,815,,1
56,841,Directed,816,,1
56,849,Directed,817,,1
56,866,Directed,818,,1
56,873,Directed,819,,1
56,879,Directed,820,,1
56,886,Directed,821,,1
56,892,Directed,822,,1
56,900,Directed,823,,1
56,904,Directed,824,,1
56,915,Directed,825,,1
56,935,Directed,826,,1
56,953,Directed,827,,1
56,975,Directed,828,,1
56,977,Directed,829,,1
56,986,Directed,830,,1
56,1000,Directed,831,,1
56,1012,Directed,832,,1
56,1038,Directed,833,,1
57,65,Directed,834,,1
57,71,Directed,835,,1
57,81,Directed,836,,1
57,93,Directed,837,,1
57,94,Directed,838,,1
57,96,Directed,839,,1
57,108,Directed,840,,1
57,111,Directed,841,,1
57,134,Directed,842,,1
57,148,Directed,843,,1
57,154,Directed,844,,1
57,157,Directed,845,,1
57,158,Directed,846,,1
57,176,Directed,847,,1
57,190,Directed,848,,1
57,193,Directed,849,,1
57,194,Directed,850,,1
57,197,Directed,851,,1
57,204,Directed,852,,1
57,209,Directed,853,,1
57,220,Directed,854,,1
57,225,Directed,855,,1
57,227,Directed,856,,1
57,239,Directed,857,,1
57,241,Directed,858,,1
57,246,Directed,859,,1
57,265,Directed,860,,1
57,268,Directed,861,,1
57,280,Directed,862,,1
57,288,Directed,863,,1
57,301,Directed,864,,1
57,310,Directed,865,,1
57,318,Directed,866,,1
57,319,Directed,867,,1
57,329,Directed,868,,1
57,344,Directed,869,,1
57,352,Directed,870,,1
57,369,Directed,871,,1
57,382,Directed,872,,1
57,387,Directed,873,,1
57,398,Directed,874,,1
57,409,Directed,875,,1
57,410,Directed,876,,1
57,411,Directed,877,,1
57,416,Directed,878,,1
57,429,Directed,879,,1
57,436,Directed,880,,1
57,451,Directed,881,,1
57,473,Directed,882,,1
57,486,Directed,883,,1
57,501,Directed,884,,1
57,519,Directed,885,,1
57,520,Directed,886,,1
57,521,Directed,887,,1
57,554,Directed,888,,1
57,574,Directed,889,,1
57,587,Directed,890,,1
57,620,Directed,891,,1
57,645,Directed,892,,1
57,662,Directed,893,,1
57,665,Directed,894,,1
57,675,Directed,895,,1
57,679,Directed,896,,1
57,684,Directed,897,,1
57,687,Directed,898,,1
57,702,Directed,899,,1
57,708,Directed,900,,1
57,719,Directed,901,,1
57,726,Directed,902,,1
57,734,Directed,903,,1
57,735,Directed,904,,1
57,742,Directed,905,,1
57,745,Directed,906,,1
57,763,Directed,907,,1
57,776,Directed,908,,1
57,778,Directed,909,,1
57,781,Directed,910,,1
57,796,Directed,911,,1
57,800,Directed,912,,1
57,802,Directed,913,,1
57,831,Directed,914,,1
57,836,Directed,915,,1
57,846,Directed,916,,1
57,847,Directed,917,,1
57,912,Directed,918,,1
57,939,Directed,919,,1
57,942,Directed,920,,1
57,960,Directed,921,,1
57,967,Directed,922,,1
57,975,Directed,923,,1
57,1011,Directed,924,,1
57,1021,Directed,925,,1
58,74,Directed,926,,1
58,83,Directed,927,,1
58,94,Directed,928,,1
58,98,Directed,929,,1
58,105,Directed,930,,1
58,112,Directed,931,,1
58,114,Directed,932,,1
58,116,Directed,933,,1
58,126,Directed,934,,1
58,129,Directed,935,,1
58,148,Directed,936,,1
58,167,Directed,937,,1
58,168,Directed,938,,1
58,179,Directed,939,,1
58,193,Directed,940,,1
58,206,Directed,941,,1
58,216,Directed,942,,1
58,227,Directed,943,,1
58,245,Directed,944,,1
58,246,Directed,945,,1
58,252,Directed,946,,1
58,273,Directed,947,,1
58,280,Directed,948,,1
58,286,Directed,949,,1
58,288,Directed,950,,1
58,330,Directed,951,,1
58,332,Directed,952,,1
58,350,Directed,953,,1
58,352,Directed,954,,1
58,354,Directed,955,,1
58,356,Directed,956,,1
58,381,Directed,957,,1
58,386,Directed,958,,1
58,390,Directed,959,,1
58,400,Directed,960,,1
58,406,Directed,961,,1
58,423,Directed,962,,1
58,428,Directed,963,,1
58,437,Directed,964,,1
58,447,Directed,965,,1
58,454,Directed,966,,1
58,469,Directed,967,,1
58,473,Directed,968,,1
58,495,Directed,969,,1
58,497,Directed,970,,1
58,521,Directed,971,,1
58,531,Directed,972,,1
58,541,Directed,973,,1
58,542,Directed,974,,1
58,551,Directed,975,,1
58,561,Directed,976,,1
58,574,Directed,977,,1
58,575,Directed,978,,1
58,578,Directed,979,,1
58,617,Directed,980,,1
58,623,Directed,981,,1
58,625,Directed,982,,1
58,634,Directed,983,,1
58,641,Directed,984,,1
58,653,Directed,985,,1
58,658,Directed,986,,1
58,669,Directed,987,,1
58,672,Directed,988,,1
58,689,Directed,989,,1
58,706,Directed,990,,1
58,726,Directed,991,,1
58,740,Directed,992,,1
58,741,Directed,993,,1
58,743,Directed,994,,1
58,761,Directed,995,,1
58,765,Directed,996,,1
58,767,Directed,997,,1
58,768,Directed,998,,1
58,796,Directed,999,,1
58,800,Directed,1000,,1
58,821,Directed,1001,,1
58,852,Directed,1002,,1
58,874,Directed,1003,,1
58,878,Directed,1004,,1
58,891,Directed,1005,,1
58,905,Directed,1006,,1
58,913,Directed,1007,,1
58,918,Directed,1008,,1
58,927,Directed,1009,,1
58,940,Directed,1010,,1
58,947,Directed,1011,,1
58,948,Directed,1012,,1
58,953,Directed,1013,,1
58,960,Directed,1014,,1
58,970,Directed,1015,,1
58,980,Directed,1016,,1
58,983,Directed,1017,,1
58,984,Directed,1018,,1
58,1004,Directed,1019,,1
58,1009,Directed,1020,,1
58,1020,Directed,1021,,1
58,1022,Directed,1022,,1
58,1039,Directed,1023,,1
58,1042,Directed,1024,,1
59,66,Directed,1025,,1
59,84,Directed,1026,,1
59,91,Directed,1027,,1
59,110,Directed,1028,,1
59,116,Directed,1029,,1
59,129,Directed,1030,,1
59,136,Directed,1031,,1
59,144,Directed,1032,,1
59,147,Directed,1033,,1
59,159,Directed,1034,,1
59,160,Directed,1035,,1
59,183,Directed,1036,,1
59,214,Directed,1037,,1
59,216,Directed,1038,,1
59,223,Directed,1039,,1
59,224,Directed,1040,,1
59,231,Directed,1041,,1
59,248,Directed,1042,,1
59,268,Directed,1043,,1
59,274,Directed,1044,,1
59,285,Directed,1045,,1
59,296,Directed,1046,,1
59,297,Directed,1047,,1
59,319,Directed,1048,,1
59,323,Directed,1049,,1
59,329,Directed,1050,,1
59,345,Directed,1051,,1
59,348,Directed,1052,,1
59,360,Directed,1053,,1
59,383,Directed,1054,,1
59,425,Directed,1055,,1
59,426,Directed,1056,,1
59,433,Directed,1057,,1
59,438,Directed,1058,,1
59,451,Directed,1059,,1
59,453,Directed,1060,,1
59,460,Directed,1061,,1
59,485,Directed,1062,,1
59,490,Directed,1063,,1
59,497,Directed,1064,,1
59,523,Directed,1065,,1
59,525,Directed,1066,,1
59,536,Directed,1067,,1
59,538,Directed,1068,,1
59,539,Directed,1069,,1
59,551,Directed,1070,,1
59,554,Directed,1071,,1
59,555,Directed,1072,,1
59,583,Directed,1073,,1
59,604,Directed,1074,,1
59,606,Directed,1075,,1
59,638,Directed,1076,,1
59,660,Directed,1077,,1
59,678,Directed,1078,,1
59,716,Directed,1079,,1
59,729,Directed,1080,,1
59,747,Directed,1081,,1
59,754,Directed,1082,,1
59,756,Directed,1083,,1
59,779,Directed,1084,,1
59,788,Directed,1085,,1
59,796,Directed,1086,,1
59,802,Directed,1087,,1
59,805,Directed,1088,,1
59,813,Directed,1089,,1
59,821,Directed,1090,,1
59,844,Directed,1091,,1
59,845,Directed,1092,,1
59,849,Directed,1093,,1
59,851,Directed,1094,,1
59,852,Directed,1095,,1
59,869,Directed,1096,,1
59,873,Directed,1097,,1
59,875,Directed,1098,,1
59,889,Directed,1099,,1
59,900,Directed,1100,,1
59,901,Directed,1101,,1
59,908,Directed,1102,,1
59,912,Directed,1103,,1
59,918,Directed,1104,,1
59,934,Directed,1105,,1
59,944,Directed,1106,,1
59,950,Directed,1107,,1
59,959,Directed,1108,,1
59,976,Directed,1109,,1
59,980,Directed,1110,,1
59,989,Directed,1111,,1
59,991,Directed,1112,,1
59,1010,Directed,1113,,1
59,1036,Directed,1114,,1
60,66,Directed,1115,,1
60,70,Directed,1116,,1
60,102,Directed,1117,,1
60,108,Directed,1118,,1
60,114,Directed,1119,,1
60,117,Directed,1120,,1
60,125,Directed,1121,,1
60,129,Directed,1122,,1
60,136,Directed,1123,,1
60,145,Directed,1124,,1
60,146,Directed,1125,,1
60,150,Directed,1126,,1
60,159,Directed,1127,,1
60,169,Directed,1128,,1
60,170,Directed,1129,,1
60,191,Directed,1130,,1
60,231,Directed,1131,,1
60,238,Directed,1132,,1
60,239,Directed,1133,,1
60,245,Directed,1134,,1
60,249,Directed,1135,,1
60,270,Directed,1136,,1
60,275,Directed,1137,,1
60,295,Directed,1138,,1
60,302,Directed,1139,,1
60,331,Directed,1140,,1
60,333,Directed,1141,,1
60,338,Directed,1142,,1
60,353,Directed,1143,,1
60,370,Directed,1144,,1
60,386,Directed,1145,,1
60,412,Directed,1146,,1
60,413,Directed,1147,,1
60,432,Directed,1148,,1
60,448,Directed,1149,,1
60,449,Directed,1150,,1
60,471,Directed,1151,,1
60,472,Directed,1152,,1
60,491,Directed,1153,,1
60,515,Directed,1154,,1
60,525,Directed,1155,,1
60,526,Directed,1156,,1
60,545,Directed,1157,,1
60,574,Directed,1158,,1
60,576,Directed,1159,,1
60,583,Directed,1160,,1
60,585,Directed,1161,,1
60,604,Directed,1162,,1
60,605,Directed,1163,,1
60,607,Directed,1164,,1
60,620,Directed,1165,,1
60,627,Directed,1166,,1
60,636,Directed,1167,,1
60,678,Directed,1168,,1
60,690,Directed,1169,,1
60,698,Directed,1170,,1
60,711,Directed,1171,,1
60,720,Directed,1172,,1
60,738,Directed,1173,,1
60,742,Directed,1174,,1
60,743,Directed,1175,,1
60,749,Directed,1176,,1
60,750,Directed,1177,,1
60,751,Directed,1178,,1
60,752,Directed,1179,,1
60,766,Directed,1180,,1
60,779,Directed,1181,,1
60,804,Directed,1182,,1
60,816,Directed,1183,,1
60,817,Directed,1184,,1
60,828,Directed,1185,,1
60,840,Directed,1186,,1
60,855,Directed,1187,,1
